UNIX CONCEPTS AND APPLICATIONS,1,7,1,SUMITHABA DAS,CS130,4TH,671,MCGRAW,now(),0000-00-00 00:00:00
UNIX CONCEPTS AND APPLICATIONS,1,7,1,SUMITHABA DAS,CS131,2ND,565,TATA MCGREW,now(),0000-00-00 00:00:00
COURSE WARE FOR ADVANCED  C & UNIX,1,7,1,T M UTTARA,CS132,,375,,now(),0000-00-00 00:00:00
UNIX OPERATING SYSTEM,1,4,1,MAURICA J S,CS133,1986,471,PHI,now(),0000-00-00 00:00:00
UNIX SYSTEM PROGRAMMING USING C/C++,1,4,1,YOGISH H K,CS134,2014,215,PRIMS,now(),0000-00-00 00:00:00
UNIX AND SHEL PROGRAMMING ,1,4,1,I A DOHOTRE,CS136,1ST,,TECHNICAL,now(),0000-00-00 00:00:00
UNIX AND SHEL PROGRAMMING ,1,4,1,I A DOHOTRE,CS137,1ST,1065,TECHNICAL,now(),0000-00-00 00:00:00
UNIX AND SHEL PROGRAMMING ,1,4,1,STEPHEN  G KOCHAN ,CS138,3RD,437,PEARSON,now(),0000-00-00 00:00:00
UNIX AND SHEL PROGRAMMING ,1,4,1,YASHAVANT KANETHKAR,CS139,1ST,486,BPB,now(),0000-00-00 00:00:00
DBMS,1,4,1,RAMAKRISHNAA,CS140,3RD,1065,MCGRAW HILL,now(),0000-00-00 00:00:00
DBMS,1,4,1,RAMAKRISHNAA,CS141,3RD,1143,MCGRAW HILL,now(),0000-00-00 00:00:00
FUNDAMENTALS OF DATA BASE SYSTEMS,1,4,1,RAMEZ ELMASRI,CS143,5TH ,1143,PEARSON,now(),0000-00-00 00:00:00
FUNDAMENTALS OF DATA BASE SYSTEMS,1,4,1,RAMEZ ELMASRI,CS144,5TH ,955,PEARSON,now(),0000-00-00 00:00:00
FUNDAMENTALS OF DATA BASE SYSTEMS,1,4,1,ELMASRI/ NAVATHE,CS145,3RD,1143,PEARSON,now(),0000-00-00 00:00:00
FUNDAMENTALS OF DATA BASE SYSTEMS,1,4,1,RAMEZ ELMASRI,CS148,5TH ,1143,LEON TECH WORD,now(),0000-00-00 00:00:00
DBMS,1,4,1,ALEXIS LEON,CS149,,988,MCGRAW,now(),0000-00-00 00:00:00
DATA BASE SYSTEM CONCEPTS,1,4,1,ABRAHAM S,CS150,6TH ,1349,MCGRAW,now(),0000-00-00 00:00:00
DATA BASE SYSTEM CONCEPTS,1,4,1,ABRAHAM S,CS151,6TH ,1349,PEARSON,now(),0000-00-00 00:00:00
DATA BASE SYSTEM ,1,4,1,THOMAS CONNOLLY,CS152,4TH,1374,MCGRAW,now(),0000-00-00 00:00:00
DBMS,1,4,1,G K GUPTA,CS153,2013,780,MCGRAW,now(),0000-00-00 00:00:00
DATA BASE SYSTEM ,1,4,1,C J DATE,CS154,8TH,931,PEARSON,now(),0000-00-00 00:00:00
SQL/PL/SQL ORACLE 11G,1,4,1,DR.P.S DESHPANDE,CS155,1ST,849,AR.EMM INTERNATIONAL,now(),0000-00-00 00:00:00
DATA BASE MANAGEMENT SYSTEM,1,4,1,ITL EDUCATION,CS156,2ND,329,,now(),0000-00-00 00:00:00
SOFTWARE ENGG,1,3,1,IAN SOMMER VILLE,CS157,9TH,773,PEARSON,now(),0000-00-00 00:00:00
SOFTWARE ENGG,1,3,1,IAN SOMMER VILLE,CS160,8TH,773,PEARSON,now(),0000-00-00 00:00:00
SOFTWARE ENGG,1,3,1,IAN SOMMER VILLE,CS161,8TH,840,PEARSON,now(),0000-00-00 00:00:00
SOFTWARE ENGG,1,3,1,IAN SOMMER VILLE,CS162,8TH,864,PEARSON,now(),0000-00-00 00:00:00
SOFTWARE ENGG,1,3,1,ROGER S P,CS163,6TH ,880,PEARSON,now(),0000-00-00 00:00:00
SOFTWARE ENGG PRINCIPLES AND PRACTICE,1,3,1,WAMMAN JAWADKER,CS164,2009,844,TATA MCGREW,now(),0000-00-00 00:00:00
SOFTWARE ENGG,1,3,1,ROGER S P,CS165,7TH,895,MCGRAW,now(),0000-00-00 00:00:00
SOFTWARE ENGG,1,3,1,SHARI LAWERENCE,CS166,4TH,782,PEARSON,now(),0000-00-00 00:00:00
SOFTWARE ENGG,1,3,1,K K AGARWAL,CS167,3RD,507,NEW AGE INTERNATIONAL,now(),0000-00-00 00:00:00
SOFTWARE ENGG,1,3,1,PANKAJ JALOTE,CS168,2011,301,WILLEY INDIA,now(),0000-00-00 00:00:00
SOFTWARE ENGG,1,3,1,A A PUTTAM BEKAR ,CS169,,,TECHNICAL,now(),0000-00-00 00:00:00
SOFTWARE ENGG,1,3,1,NEELAM BHAVAARI,CS170,2ND,265,INTERLINE,now(),0000-00-00 00:00:00
SOFTWARE ENGG,1,3,1,A A PUTTAM BEKAR ,CS172,1ST,128,TECHNICAL,now(),0000-00-00 00:00:00
SOFTWARE ENGG,1,3,1,RICHARD F,CS173,1ST,364,MCGRAW,now(),0000-00-00 00:00:00
AN INTEGRATED APPROACH TO SOFTWARE ENGINEERING,1,3,1,PANKAJ JALOTE,CS174,1ST,375,NARORA,now(),0000-00-00 00:00:00
COMPUTER GRAPHICS USING OPEN GL,1,6,1,F.S HILL,CS175,3RD,778,ASHOK K GOSH,now(),0000-00-00 00:00:00
COMPUTER GRAPHICS ,1,6,1,HEARN,CS178,3RD,857,PEARSON,now(),0000-00-00 00:00:00
COMPUTER GRAPHICS,1,6,1,HEARN,CS180,3RD,857,PEARSON,now(),0000-00-00 00:00:00
COMPUTER GRAPHICS ,1,6,1,AARMDRENDRA N.SIMHA,CS181,2ND,471,MCGRAW,now(),0000-00-00 00:00:00
COMPUTER GRAPHICS ,1,6,1,JAMES D FOLIY,CS183,2ND,1158,MCGRAW,now(),0000-00-00 00:00:00
COMPUTER GRAPHICS ,1,6,1,JAMES D FOLIY,CS184,2ND,1174,PEARSON,now(),0000-00-00 00:00:00
INTERACTIVE COMPUTER GRAPHICS,1,6,1,EDWARD ANGEL,CS185,5TH ,828,PEARSON,now(),0000-00-00 00:00:00
INTERACTIVE COMPUTER GRAPHICS,1,6,1,EDWARD ANGEL,CS186,5TH ,563,PEARSON,now(),0000-00-00 00:00:00
COMPUTER GRAPHICS AND MULTIMEDIA,1,6,1,ETHERAM RAZA KHAN,CS187,1ST,241,UNIVERSITY SCIENCE PRESS,now(),0000-00-00 00:00:00
COMPUTER GRAPHICS,1,6,1,A.P GODSE,CS188,1ST,298,TECHNICAL PUBLICATIONS,now(),0000-00-00 00:00:00
COMPUTER GRAPHICS,1,6,1,STEVEN HARNINGTON,CS189,2ND,465,MCGRAW,now(),0000-00-00 00:00:00
COMPUTER ORGANIZATION AND DESIGN,1,4,1,DAVID A PETERSON,CS190,4TH,685,MCGRAW,now(),0000-00-00 00:00:00
COMPUTER ORGANIZATION AND DESIGN,1,4,1,CARL HAMACHER,CS194,5TH ,805,MCGRAW,now(),0000-00-00 00:00:00
COMPUTER ORGANIZATION ,1,4,1,CARL HAMACHER,CS195,5TH ,805,MCGRAW,now(),0000-00-00 00:00:00
COMPUTER ORGANIZATION  & ARCHITUCTURE,1,4,1,WILLIAM STALLINGS,CS201,8TH,805,MCGRAW,now(),0000-00-00 00:00:00
COMPUTER  ARCHITUCTURE & ORGANIZATION,1,4,1,JHON P HAYS,CS202,2012,792,PEARSON,now(),0000-00-00 00:00:00
COMPUTER  ARCHITUCTURE & ORGANIZATION,1,4,1,JHON P HAYS,CS203,3RD,604,MCGRAW,now(),0000-00-00 00:00:00
COMPUTER ORGANIZATION ,1,4,1,L KRISHNANDA,CS204,1ST,602,MCGRAW,now(),0000-00-00 00:00:00
COMPUTER ORGANIZATION ,1,4,1,L KRISHNANDA,CS205,1ST,529,PRISM,now(),0000-00-00 00:00:00
COMPUTER ORGANIZATION ,1,4,1,A P GODRE,CS206,1ST,529,PRISM,now(),0000-00-00 00:00:00
THE INTEL MICROPROCESSOR,1,3,1,BARRY B BREY,CS207,6TH ,359,TECHNICAL,now(),0000-00-00 00:00:00
MICROPROCESSOR,1,3,1,POUGLAS V HALL,CS208,2ND,1012,MCGRAW,now(),0000-00-00 00:00:00
MICROPROCESSOR  ARCHITECTURE PROGRAMMING AND APPLICATION WITH 8085,1,3,1,RAMESH GOONKAR,CS209,5TH ,820,ULLAS PATAC,now(),0000-00-00 00:00:00
ADVANCED MICROPROCESSOR AND PERIPHERALS,1,7,1,A K RAY,CS212,1ST,666,MCGRAW,now(),0000-00-00 00:00:00
ADVANCED MICROPROCESSOR AND PERIPHERALS,1,7,1,A K RAY,CS214,2ND,715,MCGRAW,now(),0000-00-00 00:00:00
THE INTEL MICROPROCESSOR,1,3,1,BERRY B BRAY,CS217,8TH,926,PEARSON,now(),0000-00-00 00:00:00
MICROPROCESSOR  ARCHITECTURE PROGRAMMING AND APPLICATION ,1,3,1,RAMESH GOONKAR,CS218,2ND,720,NEW AGE INTERNATIONAL,now(),0000-00-00 00:00:00
MICROPROCESSOR PC HARDWARE AND INTERFACES,1,3,1,N MATHIVANAM,CS219,1ST,709,ASHOK K GOSH,now(),0000-00-00 00:00:00
THE 8085 INTRODUCTION TO MICROPROCESSOR,1,3,1,KENNATH J AYALA,CS220,2ND,367,PEARSON,now(),0000-00-00 00:00:00
0000 TO 8085 INTRODUCTION TO MICROPROCESSOR,1,3,1,P K GOSH,CS221,2ND,,ASHOK K GOSH,now(),0000-00-00 00:00:00
MICROPROCESSOR AND INTERFACING,1,3,1,DOUGEAY U HALL,CS222,3RD,,MCGRAW,now(),0000-00-00 00:00:00
8085 MICROPROCESSOR AND ITS APPLICATION ,1,3,1,A NAGOOR,CS223,3RD,,MCGRAW,now(),0000-00-00 00:00:00
ADVANCED MICROPROCESSOR AND ASSEMBLY LANGUAGE PROGRAMMING,1,7,1,K UDAY KUMAR,CS224,1ST,462,MCGRAW,now(),0000-00-00 00:00:00
